DateTime,Players,Players Trend,Twitch Viewers
3/10/20 23:30,222,192.2291667,18
3/10/20 23:40,227,192.3791515,17
3/10/20 23:50,223,192.4516716,22
3/11/20 0:00,225,191.9299073,25
3/11/20 0:10,214,192.036958,20
3/11/20 0:20,208,192.193479,21
3/11/20 0:30,213,192.4844669,22
3/11/20 0:40,220,192.6014565,21
3/11/20 0:50,221,192.7398488,24
3/11/20 1:00,215,192.7763489,17
3/11/20 1:10,213,192.8178151,17
3/11/20 1:20,215,192.8060245,14
3/11/20 1:30,211,192.6876692,18
3/11/20 1:40,214,192.6134085,19
3/11/20 1:50,203,192.4948734,21
3/11/20 2:00,200,192.4626228,23
3/11/20 2:10,198,192.4763056,27
3/11/20 2:20,197,192.4616159,16
3/11/20 2:30,190,192.4948446,20
3/11/20 2:40,184,192.5631027,21
3/11/20 2:50,189,192.710677,17
3/11/20 3:00,191,192.7237582,18
3/11/20 3:10,193,192.6910893,21
3/11/20 3:20,185,192.6304618,21
3/11/20 3:30,172,192.6320432,26
3/11/20 3:40,183,192.7116997,26
3/11/20 3:50,166,192.7613258,24
3/11/20 4:00,164,192.9236732,18
3/11/20 4:10,159,193.0267331,17
3/11/20 4:20,160,193.1775902,21
3/11/20 4:30,165,193.2856305,26
3/11/20 4:40,155,193.3163998,24
3/11/20 4:50,154,193.3728822,25
3/11/20 5:00,146,193.4213853,19
3/11/20 5:10,143,193.5271085,19
3/11/20 5:20,140,193.6429438,21
3/11/20 5:30,134,193.7056856,19
3/11/20 5:40,135,193.7423082,43
3/11/20 5:50,137,193.7538703,38
3/11/20 6:00,124,193.7059142,30
3/11/20 6:10,125,193.7254954,28
3/11/20 6:20,124,193.7371968,33
3/11/20 6:30,125,193.7629465,31
3/11/20 6:40,120,193.7636469,40
3/11/20 6:50,122,193.7727174,68
3/11/20 7:00,122,193.7682988,62
3/11/20 7:10,124,193.7457528,61
3/11/20 7:20,129,193.721305,59
3/11/20 7:30,122,193.6237911,58
3/11/20 7:40,120,193.5177364,57
3/11/20 7:50,110,193.3953733,16
3/11/20 8:00,109,193.298443,14
3/11/20 8:10,112,193.2110038,17
3/11/20 8:20,116,193.1274366,14
3/11/20 8:30,118,193.0063653,13
3/11/20 8:40,115,192.8561715,12
3/11/20 8:50,115,192.7585629,17
3/11/20 9:00,120,192.6920498,20
3/11/20 9:10,119,192.5525312,18
3/11/20 9:20,118,192.4056107,12
3/11/20 9:30,117,192.2513096,9
3/11/20 9:40,119,192.151294,10
3/11/20 9:50,119,192.0513115,11
3/11/20 10:00,125,191.9702482,0
3/11/20 10:10,133,191.864502,9
3/11/20 10:20,136,191.7227965,10
3/11/20 10:30,134,191.6117495,9
3/11/20 10:40,143,191.5938788,9
3/11/20 10:50,140,191.5017657,10
3/11/20 11:00,139,191.4604975,7
3/11/20 11:10,132,191.4511107,12
3/11/20 11:20,132,191.4867869,10
3/11/20 11:30,133,191.4780904,7
3/11/20 11:40,128,191.4514942,10
3/11/20 11:50,126,191.4099768,11
3/11/20 12:00,129,191.4484602,4
3/11/20 12:10,126,191.4773527,0
3/11/20 12:20,130,191.5869109,3
3/11/20 12:30,131,191.6842557,1
3/11/20 12:40,136,191.7605525,1
3/11/20 12:50,131,191.8060789,1
3/11/20 13:00,136,191.9009693,0
3/11/20 13:10,147,191.9361466,1
3/11/20 13:20,163,191.9486097,3
3/11/20 13:30,163,191.8464057,3
3/11/20 13:40,175,191.8069999,4
3/11/20 13:50,181,191.7036656,4
3/11/20 14:00,184,191.5336872,0
3/11/20 14:10,181,191.3928031,3
3/11/20 14:20,185,191.2687907,4
3/11/20 14:30,188,191.0657708,4
3/11/20 14:40,182,190.9267783,5
3/11/20 14:50,197,190.941623,4
3/11/20 15:00,198,190.8880977,4
3/11/20 15:10,182,190.8504652,5
3/11/20 15:20,187,190.8555425,6
3/11/20 15:30,189,190.9065409,8
3/11/20 15:40,195,190.8817374,8
3/11/20 15:50,201,190.9318495,13
3/11/20 16:00,216,190.9653117,14
3/11/20 16:10,223,190.8867983,17
3/11/20 16:20,221,190.8128128,39
3/11/20 16:30,227,190.7948881,90
3/11/20 16:40,235,190.8659978,134
3/11/20 16:50,234,190.8924777,152
3/11/20 17:00,230,190.8839614,164
3/11/20 17:10,236,191.005725,169
3/11/20 17:20,235,191.0890985,172
3/11/20 17:30,235,191.1289898,156
3/11/20 17:40,242,191.2439013,183
3/11/20 17:50,252,191.343771,178
3/11/20 18:00,254,191.3775575,187
3/11/20 18:10,259,191.4163341,194
3/11/20 18:20,263,191.4776129,200
3/11/20 18:30,266,191.566506,199
3/11/20 18:40,273,191.6807177,217
3/11/20 18:50,284,191.7995474,310
3/11/20 19:00,284,191.7894349,282
3/11/20 19:10,285,191.8295891,253
3/11/20 19:20,292,191.8338961,251
3/11/20 19:30,294,191.883214,239
3/11/20 19:40,300,191.9080177,194
3/11/20 19:50,298,191.9066348,198
3/11/20 20:00,292,191.9239766,237
3/11/20 20:10,301,191.9869142,244
3/11/20 20:20,300,192.0003192,251
3/11/20 20:30,318,192.0985109,237
3/11/20 20:40,316,192.0491568,94
3/11/20 20:50,320,192.0283933,91
3/11/20 21:00,308,191.9477134,90
3/11/20 21:10,310,191.9601795,90
3/11/20 21:20,299,191.9620535,90
3/11/20 21:30,296,192.0275937,100
3/11/20 21:40,287,192.0421673,121
3/11/20 21:50,284,192.1021369,119
3/11/20 22:00,277,192.1312317,105
3/11/20 22:10,277,192.2085125,107
3/11/20 22:20,269,192.2539308,107
3/11/20 22:30,270,192.3723254,105
3/11/20 22:40,274,192.4766176,90
3/11/20 22:50,265,192.5301361,89
3/11/20 23:00,262,192.5329684,87
3/11/20 23:10,252,192.5141677,85
3/11/20 23:20,,192.2947079,80
3/11/20 23:30,239,193.78746,80
3/11/20 23:40,233,193.8631248,78
3/11/20 23:50,143,193.8996193,83
3/12/20 0:00,237,194.502455,86
3/12/20 0:10,234,194.5139372,85
3/12/20 0:20,247,194.5215643,73
3/12/20 0:30,226,194.4497131,58
3/12/20 0:40,236,194.4108739,61
3/12/20 0:50,223,194.2869497,62
3/12/20 1:00,218,194.2409591,49
3/12/20 1:10,208,194.1277998,45
3/12/20 1:20,195,194.0222884,44
3/12/20 1:30,197,194.0522592,7
